Name	Artist	Composer	Album	Grouping	Work	Movement Number	Movement Count	Movement Name	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Plays	Last Played	Skips	Last Skipped	My Rating	Location
Freewill	Rush	Geddy Lee, Neil Peart & Alex Lifeson	Permanent Waves (Remastered)						Rock	11979022	323	1	1	2	6	1980	2/28/2019 9:06 PM	3/18/2018 7:19 AM	256	44100		Apple Music AAC audio file			6	3/11/2019 10:52 AM	3	3/1/2019 10:45 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Rush\Permanent Waves (Remastered)\02 Freewill.m4p
Whip It	Devo	Gerald V. Casale, Mark Mothersbaugh, Casale, G.Casale, Gerald Casale, M. Mothersbaugh, Mark Mothersbaugh and Gerald V Casale & Mothersbaugh	Greatest Hits						New Wave	6429554	161	1	1	9	16	1980	3/9/2019 8:55 AM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			1	3/9/2019 7:05 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Greatest Hits\09 Whip It.m4p
Here I Go Again (Radio Mix)	Whitesnake	Bernie Marsden & David Coverdale	Whitesnake (30th Anniversary Super Deluxe Edition)						Pop	8588451	231	4	4	9	10	1982	3/2/2019 8:28 AM	3/21/2018 4:14 PM	256	44100		Apple Music AAC audio file			12	3/11/2019 4:08 PM	7	3/11/2019 10:55 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Whitesnake\Whitesnake (30th Anniversary Super Delux\4-09 Here I Go Again (Radio Mix).m4p
Stand	R.E.M.	William Berry, Peter Buck, Michael Mills & Michael Stipe	Part Lies, Part Heart, Part Truth, Part Garbage: 1982-2011						Rock	7329450	191	1	1	14	40	1988	3/7/2019 8:55 PM	3/10/2019 7:19 PM	256	44100		Apple Music AAC audio file			1	3/9/2019 8:17 AM				C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Compilations\Part Lies, Part Heart, Part Truth, Part\14 Stand.m4p
She Sells Sanctuary	The Cult	Billy Duffy & Ian Astbury	Love						Alternative	9474970	263	1	1	9	10	1985	2/28/2019 9:06 PM	4/4/2018 9:22 AM	256	44100		Apple Music AAC audio file			11	3/9/2019 3:49 AM	5	3/7/2019 3:39 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\The Cult\Love\09 She Sells Sanctuary.m4p
Mothers Talk	Tears for Fears	Roland Orzabal & Ian Stanley	Songs from the Big Chair						Pop	11444617	306	1	1	4	8	1984	3/5/2019 8:55 AM	3/24/2018 11:53 AM	256	44100		Apple Music AAC audio file			7	3/8/2019 7:49 PM	3	3/7/2019 7:38 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Tears for Fears\Songs from the Big Chair\04 Mothers Talk.m4p
Down Under	Men At Work	Colin Hay & Ron Strykert	Business As Usual						Rock	7917416	222	1	1	3	10	1981	2/28/2019 9:06 PM	5/24/2018 5:37 AM	256	44100		Apple Music AAC audio file			10	3/11/2019 10:59 AM	11	12/7/2018 6:46 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Men At Work\Business As Usual\03 Down Under.m4p
One Thing Leads to Another	The Fixx	Alfred Agius, Cy Curnin, Peter John Greenall, Jamie west-oram & Adam Woods	Reach the Beach (Expanded Edition) [Remastered]						Rock	7220615	199	1	1	1	14	1983	3/8/2019 2:34 PM	2/20/2019 6:01 PM	256	44100		Apple Music AAC audio file			7	3/11/2019 11:10 AM	2	3/8/2019 8:37 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\The Fixx\Reach the Beach (Expanded Edition) [Rema\01 One Thing Leads to Another.m4p
Shout at the Devil	Mötley Crüe	Nikki Sixx, Mick Mars, Tommy Lee & Vince Neil	Shout at the Devil						Rock	7169007	194	1	1	2	11	1983	3/8/2019 2:34 PM	4/4/2018 9:32 AM	256	44100		Apple Music AAC audio file			3	3/9/2019 7:08 AM	5	3/7/2019 5:09 PM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Mötley Crüe\Shout at the Devil\02 Shout at the Devil.m4p
The Safety Dance	Men Without Hats		Rhythm of Youth						Pop	10240138	277	1	1	2	15	1981	2/28/2019 9:06 PM	3/24/2018 5:35 AM	256	44100		Apple Music AAC audio file			10	3/9/2019 10:15 AM	4	3/11/2019 11:10 AM		C:\Users\justi\Music\iTunes\iTunes Media\Apple Music\Men Without Hats\Rhythm of Youth\02 The Safety Dance.m4p
